edge_id,src_node,dst_node,num_lanes,length_m,speed_limit_mps
43530,2396937689,53098239,2,575.7,11.176
43531,2396937689,53098236,2,31.4,11.176
43532,2396937689,2396937690,2,38.4,8.9408
43533,316557554,316557729,3,13.6,15.6464
43534,316557554,316557730,3,59.3,15.6464
43535,4002307885,1792772911,1,61.7,22.352
43536,4002307885,1792772981,1,47.8,11.176
43537,316557564,316557740,3,13.8,15.6464
43538,65420403,65417051,1,49.3,8.9408
43539,65420403,65392815,2,149.7,8.9408
43540,1083072652,721675357,2,30.7,20.1168
43541,1083072652,1083072655,2,40.4,8.9408
43542,1083072655,721673623,3,478.8,16.54048
43543,65420485,65500780,1,427.5,8.9408
43544,65420485,2357519643,2,293.6,11.176
43545,65420485,65420475,2,712.8,11.176
43546,1831756462,1852654855,3,9.3,11.176
43547,1831756462,1831756548,3,568.6,11.176
43548,2867749550,5017202860,3,28.9,8.9408
43549,2867749550,2405680869,3,215.3,13.4112
43550,1831756548,1852654855,3,571.8,11.176
43551,1831756548,2230191542,3,2400.0,11.176
43552,3257819933,3257819934,3,94.4,22.352
43553,3257819933,65374122,1,103.7,20.1168
43554,3257819958,3257820991,2,775.4,22.352
43555,5200831750,5200831751,3,12.7,8.9408
43556,5200831750,1771186156,2,583.9,8.9408
43557,5200831751,1771186260,3,7.7,8.9408
43558,5200831751,305545804,3,281.9,8.9408
43559,292447596,65599134,1,880.5,8.9408
43560,292447596,65511299,1,1284.5,8.9408
43561,292447596,803621176,1,709.2,13.4112
43562,98461043,53030619,1,27.2,11.176
43563,98461043,53056371,1,1522.7,11.176
43564,2774159516,2774159521,1,6.9,22.352
43565,2774159516,53066903,1,25.7,22.352
43566,263087528,660032381,1,16.2,8.9408
43567,263087528,2230688685,3,1271.1,15.6464
43568,263087528,53076096,1,357.6,8.9408
43569,98461097,258769157,3,26.8,11.176
43570,98461097,57878542,1,1421.4,11.176
43571,851338668,2868701710,2,47.8,17.8816
43572,851338668,1548371439,1,1336.8,17.8816
43573,2774159524,263423336,1,28.1,11.176
43574,5797601431,2315454012,1,7.5,8.9408
43575,5797601431,5797601427,1,5.4,8.9408
43576,5797601431,5797601428,1,38.0,8.9408
43577,3998115410,258756007,2,1127.0,11.176
43578,3998115410,65315790,2,54.5,11.176
43579,297690759,65550657,2,21.2,17.8816
43580,297690759,258968455,4,88.1,22.352
43581,1315688054,418119959,1,16.3,20.1168
43582,1315688054,1315687920,1,2818.4,20.1168
43583,3257820985,307624825,2,829.9,22.352
